method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
DELETE,/api/fraud/blacklists/:id,server.ts:1947,serverDb,deleteBlacklistEntry,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
POST,/api/fraud/blacklists/:id/toggle,server.ts:1961,serverDb,toggleBlacklistStatus,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
GET,/api/fraud/settings,server.ts:1975,serverDb,fraudSettings,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
POST,/api/fraud/settings,server.ts:1983,serverDb,updateFraudSettings,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
POST,/api/fraud/evaluate,server.ts:1996,fraudEngine,,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
POST,/api/fraud/verify-order,server.ts:2020,fraudEngine,,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
GET,/api/warehouses,server.ts:2050,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/warehouses,server.ts:2059,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/warehouses/:id/toggle,server.ts:2073,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
GET,/api/warehouses/stock-matrix,server.ts:2088,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/warehouses/stock-matrix/bin,server.ts:2099,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
GET,/api/fulfillment/transfers,server.ts:2124,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/transfers,server.ts:2133,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/transfers/:id/approve,server.ts:2157,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/transfers/:id/dispatch,server.ts:2172,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/transfers/:id/receive,server.ts:2192,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/route-order,server.ts:2211,serverDb fulfillmentEngine,getOrderById,src/context/AppContext.tsx,n,-,WIRED
GET,/api/fulfillment/pick-lists,server.ts:2229,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/pick-lists,server.ts:2238,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/pick-lists/:id/toggle-item,server.ts:2256,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
GET,/api/fulfillment/manifests,server.ts:2274,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/manifests,server.ts:2283,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/fulfillment/manifests/:id/handover,server.ts:2305,fulfillmentEngine,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/promotions/validate,server.ts:2324,promotionEngine,,src/admin/PromotionsAdmin.tsx | src/pages/Checkout.tsx,n,-,WIRED
GET,/api/promotions/coupons,server.ts:2347,serverDb promotionEngine,coupons,src/admin/PromotionsAdmin.tsx,n,-,WIRED
POST,/api/promotions/coupons,server.ts:2360,serverDb,getCouponByCode addCoupon,src/admin/PromotionsAdmin.tsx,n,-,WIRED
PUT,/api/promotions/coupons/:id,server.ts:2405,serverDb,updateCoupon,src/admin/PromotionsAdmin.tsx,n,-,WIRED
DELETE,/api/promotions/coupons/:id,server.ts:2420,serverDb,deleteCoupon,src/admin/PromotionsAdmin.tsx,n,-,WIRED
GET,/api/promotions/flash-deals,server.ts:2435,serverDb,flashDeals,src/admin/PromotionsAdmin.tsx,n,-,WIRED
POST,/api/promotions/flash-deals,server.ts:2443,serverDb,flashDeals addAuditLog,src/admin/PromotionsAdmin.tsx,n,-,WIRED
POST,/api/promotions/loyalty/adjust,server.ts:2482,serverDb,adjustLoyaltyPoints,src/admin/PromotionsAdmin.tsx,n,-,WIRED
GET,/api/promotions/stats,server.ts:2508,promotionEngine,,NONE,n,-,ORPHAN(no client caller)
GET,/api/customer/profile/:customerId,server.ts:2521,serverDb,getCustomerProfile,src/context/AppContext.tsx,n,-,WIRED
PUT,/api/customer/profile/:customerId,server.ts:2533,serverDb,updateCustomerProfile,src/context/AppContext.tsx,n,-,WIRED
GET,/api/customer/addresses/:customerId,server.ts:2546,serverDb,getCustomerAddresses,src/context/AppContext.tsx,n,-,WIRED
POST,/api/customer/addresses,server.ts:2555,serverDb,addCustomerAddress,src/context/AppContext.tsx,n,-,WIRED
PUT,/api/customer/addresses/:addressId,server.ts:2581,serverDb,updateCustomerAddress,src/context/AppContext.tsx,n,-,WIRED
DELETE,/api/customer/addresses/:addressId,server.ts:2593,serverDb,deleteCustomerAddress,src/context/AppContext.tsx,n,-,WIRED
GET,/api/customer/wishlist/:customerId,server.ts:2610,serverDb,getWishlist,src/context/AppContext.tsx,n,-,WIRED
POST,/api/customer/wishlist/toggle,server.ts:2619,serverDb,toggleWishlist getWishlist,src/context/AppContext.tsx,n,-,WIRED
GET,/api/customer/returns/:customerId,server.ts:2634,serverDb,getCustomerReturnRequests,src/context/AppContext.tsx,n,-,WIRED
POST,/api/customer/returns,server.ts:2643,serverDb,createReturnRequest,src/context/AppContext.tsx,n,-,WIRED
GET,/api/marketing/rfm-segments,server.ts:2673,marketingService,,src/admin/MarketingAdmin.tsx,n,-,WIRED
GET,/api/marketing/customers-crm,server.ts:2683,marketingService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/marketing/customers-crm/:id,server.ts:2707,marketingService,,src/admin/MarketingAdmin.tsx,n,-,WIRED
POST,/api/marketing/customers-crm/:id/notes,server.ts:2719,marketingService,,src/admin/MarketingAdmin.tsx,n,-,WIRED
POST,/api/marketing/customers-crm/:id/tags,server.ts:2732,marketingService,,src/admin/MarketingAdmin.tsx,n,-,WIRED
GET,/api/customers,server.ts:2746,marketingService serverDb,blacklists customers orders,src/admin/CustomersAdmin.tsx | src/context/AppContext.tsx,n,-,WIRED
GET,/api/customers/:id,server.ts:2837,marketingService serverDb,customerAddresses orders,src/components/admin/Customer360Modal.tsx,n,-,WIRED
PATCH,/api/customers/:id/status,server.ts:2862,serverDb,customers addAuditLog,src/components/admin/Customer360Modal.tsx | src/context/AppContext.tsx,n,-,WIRED
POST,/api/customers,server.ts:2887,serverDb,customers addAuditLog,src/admin/CustomersAdmin.tsx | src/context/AppContext.tsx,n,-,WIRED
