method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
POST,/api/suppliers/:id/payments,server.ts:3755,securityEngine supplierEngine,,src/admin/SuppliersAdmin.tsx,y,-,WIRED
POST,/api/suppliers/:id/pos/:poId/delivery,server.ts:3786,supplierEngine,,src/admin/SuppliersAdmin.tsx,n,-,WIRED
POST,/api/suppliers/:id/toggle-portal,server.ts:3798,supplierEngine,,src/admin/SuppliersAdmin.tsx,n,-,WIRED
POST,/api/suppliers/portal/login,server.ts:3810,supplierEngine,,src/pages/supplier/SupplierLoginPage.tsx,n,-,WIRED
GET,/api/suppliers/portal/dashboard,server.ts:3829,supplierEngine,,src/pages/supplier/SupplierPortalPage.tsx,n,-,WIRED
POST,/api/suppliers/portal/update-profile,server.ts:3847,supplierEngine,,src/pages/supplier/SupplierPortalPage.tsx,n,-,WIRED
POST,/api/suppliers/portal/change-password,server.ts:3861,supplierEngine,,src/pages/supplier/SupplierPortalPage.tsx,n,-,WIRED
POST,/api/suppliers/:id/set-portal-password,server.ts:3875,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
GET,/api/suppliers/agreements/all,server.ts:3891,supplierEngine,,src/components/admin/SupplierAgreementsView.tsx,n,-,WIRED
GET,/api/suppliers/:id/agreements,server.ts:3900,supplierEngine,,src/components/admin/SupplierAgreementsView.tsx,n,-,WIRED
POST,/api/suppliers/:id/agreements,server.ts:3909,supplierEngine,,src/components/admin/SupplierAgreementsView.tsx,n,-,WIRED
PUT,/api/suppliers/agreements/:id,server.ts:3920,supplierEngine,,src/components/admin/SupplierAgreementsView.tsx,n,-,WIRED
DELETE,/api/suppliers/agreements/:id,server.ts:3931,supplierEngine,,src/components/admin/SupplierAgreementsView.tsx,n,-,WIRED
GET,/api/suppliers/batches/all,server.ts:3943,supplierEngine,,src/components/admin/SupplyBatchesView.tsx,n,-,WIRED
GET,/api/suppliers/:id/batches,server.ts:3952,supplierEngine,,src/components/admin/SupplyBatchesView.tsx,n,-,WIRED
POST,/api/suppliers/:id/batches,server.ts:3961,supplierEngine,,src/components/admin/SupplyBatchesView.tsx,n,-,WIRED
PUT,/api/suppliers/batches/:id,server.ts:3972,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
GET,/api/suppliers/eligible-sales/all,server.ts:3984,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
GET,/api/suppliers/:id/eligible-sales,server.ts:3993,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
POST,/api/suppliers/eligible-sales/process-order,server.ts:4002,supplierEngine,,NONE,n,-,ORPHAN(no client caller)
POST,/api/suppliers/eligible-sales/adjust-return,server.ts:4014,supplierEngine,,src/components/admin/SupplierSettlementsView.tsx,n,-,WIRED
